Application	Url	App Class	BU	IT	Remarks
Weight Scale Automation | Mitr Phol Group	https://weightscale.mitrphol.com/wsprd/	A	Supply Chain	Wirawat	App Class A, Internet-facing
canemis	https://canemis.mitrphol.com/	A	Sugarcane	Orathai	App Class A, Internet-facing
CBD | MITR PHOL GROUP	http://cbd.mitrphol.com/	A	FIN	Bunnawit	App Class A, Internet-facing
Smart Report	https://smart.mitrphol.com/	A	QM	Thanes	App Class A, Internet-facing
WorkFlow System | Mitr Phol Group	https://work-flow.mitrphol.com/	B	FIN	Thanes	
MP FarmPro360	https://farmpro360.mitrphol.com/login	B	Sugarcane	Orathai	
Mobel Klik	https://mobelklik.com/	B	Panelplus	Nattaphol	
Cane Contracting Platform - Mitrphol	https://mpcontract.mitrphol.com/login	B	Sugarcane	Chayasit	
consent	https://consent.mitrphol.com/	B	Sustainability	Ekasak	
casavamis	https://cassavamis.mitrphol.com/	B			
emedical	https://emedical.mitrphol.com/ESS/	C	HR	Vendor	Internet-facing, ข้อมูลสุขภาพ
eBusinessCard	https://ebusinesscard.mitrphol.com/login	C	วิศวกรรมและประกันคุณภาพ	Ekasak	
อุทยานมิตรผลกาฬสินธุ์	https://mpkspark.mitrphol.com/login.jsf	C	DTT	Sirichot	
Code of Conduct | Mitr Phol Group	https://code-of-conduct.mitrphol.com/th/policy	C	Sustainability	Bunnawit	
Modern Farm Academy	https://mfa.mitrphol.com/login/index.php	C	Sugarcane	Chutima	
Smart Service	https://servicedesk.mitrphol.com/		วิศวกรรมและประกันคุณภาพ	Chutima	
Fertilizer Management System | Mitr Phol Group	https://fms.mitrphol.com/		ธุรกิจปุ๋ย	Wirawat	
MPESCO	https://esco-scm.mitrphol.com/		Bio Power	Chayasit	
Document number | Mitr Phol Group	https://doc-no.mitrphol.com/		HR	Bunnawit	
USF| MitrPhol Group	https://usf.mitrphol.com/		DTT		
Mitr Phol Procurement System	https://pur.mitrphol.com/mps-web/#/login		ด้านจัดซื้อ		
Mitr Phol Digital Operation	http://dopr.mitrphol.com:8080/MPGDOPRService/login		Sugar Factory	Piyawan	
Mitr Phol Compliance	https://compliance.mitrphol.com/		Sustainability	Vendor	
asrs.mitrphol.com	http://asrs.mitrphol.com/				
CBS Register | Mitr Phol Group	https://cbs-register.mitrphol.com/		DTT	Siriruk	
CCS-Admin	https://ccs-admin-mpv.mitrphol.com		MPV	Chutima	
CCS MPV	https://ccs-mpv.mitrphol.com/ccs/		MPV	Chutima	
Intelligent Contractor Control Management System	http://icon.mitrphol.com/		วิศวกรรมและประกันคุณภาพ		
KAEN 360	https://web360.kaencentre.com/		KKIC	Sattawatn	
City OS	https://pole.kaencentre.com/		KKIC	Sattawatn	
Conzento: Consent management center	https://privacy.mitrphol.com/		Sustainability	Ekasak	
Mitr Phuviang	https://mpv.mitrphol.com/		Sugar Factory	Chutima	
e-workflow	https://ewf.mitrphol.com/GWF/login			Bunnawit	
genie	https://genie.mitrphol.com/			Poomipat	M-AI
